,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2018-12-31-01,1026.0,1027.3,15.8,14.5,92,3.2,70,7.8,70,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-02,1025.8,1027.1,15.9,14.5,91,2.9,70,7.8,80,0.0,0.0,-999,0.00,18.0,-999,10.0
2018-12-31-03,1026.0,1027.3,16.0,14.7,92,1.5,50,5.9,70,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-04,1026.2,1027.5,15.7,14.7,94,1.0,50,4.5,80,T,0.9,-999,0.00,-999,-999,-999
2018-12-31-05,1026.1,1027.4,15.3,14.7,96,0.1,0,2.9,60,T,0.3,-999,0.00,18.0,-999,10.0
2018-12-31-06,1026.6,1027.9,15.1,14.5,96,1.4,70,2.5,80,0.5,0.8,0.0,0.00,-999,-999,-999
2018-12-31-07,1027.1,1028.4,15.6,15.1,97,1.6,50,3.0,70,T,0.3,0.0,0.00,-999,-999,-999
2018-12-31-08,1027.4,1028.7,16.0,15.1,94,3.4,70,7.3,80,T,0.9,0.0,0.00,18.0,-999,10.0
2018-12-31-09,1028.0,1029.3,16.3,15.3,94,2.4,70,7.1,80,T,1.0,0.0,0.00,20.0,-999,10.0
2018-12-31-10,1027.7,1029.0,16.3,15.2,93,2.6,70,6.5,60,T,1.0,0.0,0.00,-999,-999,-999
2018-12-31-11,1026.9,1028.2,16.7,15.7,94,2.4,60,5.7,70,T,1.0,0.0,0.52,18.0,-999,10.0
2018-12-31-12,1025.7,1027.0,17.0,15.8,93,2.5,60,6.7,80,T,1.0,0.0,0.60,-999,-999,-999
2018-12-31-13,1025.1,1026.4,17.2,15.6,90,3.4,80,8.5,90,T,1.0,0.0,0.67,-999,-999,-999
2018-12-31-14,1024.4,1025.7,17.2,15.6,90,3.6,60,9.9,80,T,0.2,0.0,0.61,20.0,-999,10.0
2018-12-31-15,1025.0,1026.3,16.9,15.3,90,2.9,70,8.9,70,0.0,0.0,0.0,0.40,-999,-999,-999
2018-12-31-16,1025.8,1027.1,16.6,15.1,91,4.0,70,10.2,100,0.0,0.0,0.0,0.00,-999,-999,-999
2018-12-31-17,1026.6,1027.9,16.3,14.8,91,4.0,80,10.5,90,0.0,0.0,0.0,0.00,13.0,-999,10.0
2018-12-31-18,1026.9,1028.2,16.1,14.8,92,3.2,70,9.7,70,0.5,0.2,0.0,0.00,-999,-999,-999
2018-12-31-19,1027.0,1028.3,16.0,14.7,92,3.2,70,7.9,70,0.0,0.0,0.0,0.00,-999,-999,-999
2018-12-31-20,1027.1,1028.4,16.0,14.6,91,3.3,70,8.4,50,T,0.3,-999,0.00,10.0,-999,10.0
2018-12-31-21,1027.4,1028.7,16.1,14.7,91,3.2,70,8.7,60,T,0.2,-999,0.00,15.0,-999,10.0
2018-12-31-22,1027.4,1028.7,16.0,14.9,93,3.0,70,7.9,70,T,0.5,-999,0.00,-999,-999,-999
2018-12-31-23,1027.1,1028.4,16.2,15.0,93,2.9,70,8.4,60,T,0.1,-999,0.00,10.0,-999,10.0
2018-12-31-24,1027.2,1028.5,16.1,15.0,93,3.8,70,7.3,70,0.0,0.0,-999,0.00,-999,-999,-999
