,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2018-12-31-01,1025.7,1028.1,15.1,13.9,93,2.4,30,6.8,360,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-02,1025.6,1028.0,15.0,13.9,93,3.2,20,8.0,10,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-03,1025.6,1028.0,14.9,14.2,96,3.3,20,8.4,10,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-04,1025.7,1028.1,15.0,14.1,94,3.3,10,8.1,10,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-05,1025.8,1028.2,15.1,14.3,95,3.0,20,10.4,20,1.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-06,1026.2,1028.6,15.1,14.4,96,2.6,20,8.1,30,T,0.0,0.0,0.00,-999,-999,-999
2018-12-31-07,1026.6,1029.0,15.4,14.7,96,2.2,20,8.1,20,0.0,0.0,0.0,0.00,-999,-999,-999
2018-12-31-08,1027.0,1029.4,15.5,15.1,97,0.8,70,4.3,340,0.0,0.0,0.0,0.00,-999,-999,-999
2018-12-31-09,1027.6,1030.0,15.8,14.9,94,2.9,20,6.4,20,1.0,0.0,0.0,0.00,-999,-999,-999
2018-12-31-10,1027.5,1029.9,15.8,15.1,96,2.6,20,8.1,30,0.0,0.0,0.0,0.03,-999,-999,-999
2018-12-31-11,1026.5,1028.9,16.0,15.1,94,3.6,20,9.5,10,0.0,0.0,0.0,0.58,-999,-999,-999
2018-12-31-12,1025.4,1027.8,16.3,15.3,94,2.8,30,9.5,30,0.0,0.0,0.0,0.60,-999,-999,-999
2018-12-31-13,1024.8,1027.2,16.1,14.8,92,3.9,20,9.9,20,0.0,0.0,0.0,0.67,-999,-999,-999
2018-12-31-14,1024.2,1026.6,16.3,15.1,93,3.5,10,8.6,10,0.0,0.0,0.0,0.60,-999,-999,-999
2018-12-31-15,1024.6,1027.0,16.0,15.0,94,3.6,10,8.9,10,0.0,0.0,0.0,0.60,-999,-999,-999
2018-12-31-16,1025.5,1027.9,15.7,14.6,93,3.5,20,8.8,50,0.0,0.0,0.0,0.41,-999,-999,-999
2018-12-31-17,1026.0,1028.4,15.5,14.2,92,3.0,20,9.9,20,0.0,0.0,0.0,0.00,-999,-999,-999
2018-12-31-18,1026.4,1028.8,15.5,14.2,92,3.0,20,10.5,10,0.0,0.0,0.0,0.00,-999,-999,-999
2018-12-31-19,1026.3,1028.7,15.8,14.1,90,2.1,30,7.6,30,0.0,0.0,0.0,0.00,-999,-999,-999
2018-12-31-20,1026.4,1028.8,16.1,14.1,88,1.4,20,5.7,10,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-21,1026.6,1029.0,16.1,14.4,90,1.6,40,5.6,10,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-22,1026.9,1029.3,16.1,14.5,90,0.8,30,4.3,30,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-23,1026.6,1029.0,15.9,14.7,93,1.8,10,4.6,30,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-24,1026.3,1028.7,16.2,14.1,87,1.8,30,5.6,40,0.0,0.0,-999,0.00,-999,-999,-999
