,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2018-12-31-01,1023.9,1027.6,15.5,13.6,88,3.5,80,7.7,70,T,1.0,-999,0.00,-999,0,-999
2018-12-31-02,1023.6,1027.3,15.7,13.9,89,2.3,110,7.2,90,T,1.0,-999,0.00,-999,0,-999
2018-12-31-03,1023.8,1027.5,16.0,14.0,88,2.3,100,5.3,70,T,1.0,-999,0.00,-999,0,-999
2018-12-31-04,1023.9,1027.6,15.9,13.9,88,2.2,100,5.9,90,T,1.0,-999,0.00,-999,0,-999
2018-12-31-05,1023.6,1027.3,16.0,14.0,88,1.9,100,5.3,70,T,1.0,-999,0.00,-999,0,-999
2018-12-31-06,1024.4,1028.1,15.4,14.0,91,0.2,0,4.0,100,0.5,1.0,0.0,0.00,-999,0,-999
2018-12-31-07,1024.8,1028.5,16.0,14.3,90,3.2,90,6.6,60,0.5,1.0,0.0,0.00,-999,0,-999
2018-12-31-08,1025.3,1029.0,16.0,14.3,90,1.9,100,8.0,80,T,1.0,0.0,0.00,10.0,0,10.0
2018-12-31-09,1025.8,1029.5,16.3,14.5,89,2.6,90,6.9,100,T,1.0,0.0,0.00,19.0,0,10.0
2018-12-31-10,1025.5,1029.2,16.4,14.7,90,2.9,100,7.4,80,T,1.0,0.0,0.03,-999,1,10.0
2018-12-31-11,1024.7,1028.4,17.0,15.2,89,2.7,110,7.1,80,T,1.0,0.0,0.60,21.0,2,10.0
2018-12-31-12,1023.4,1027.1,17.1,15.0,87,3.8,90,9.8,110,T,1.0,0.0,0.60,-999,2,10.0
2018-12-31-13,1022.9,1026.6,17.3,15.0,86,3.8,80,9.5,80,T,1.0,0.0,0.75,-999,3,10.0
2018-12-31-14,1022.5,1026.2,17.2,14.4,84,4.4,80,9.4,110,T,1.0,0.0,0.60,24.0,2,10.0
2018-12-31-15,1022.8,1026.5,16.8,14.1,84,4.9,80,12.1,100,T,1.0,0.0,0.45,-999,1,10.0
2018-12-31-16,1023.7,1027.4,16.6,13.8,84,3.4,90,9.4,110,T,1.0,0.0,0.28,-999,1,10.0
2018-12-31-17,1024.4,1028.1,16.1,13.5,85,5.6,100,11.9,90,T,1.0,0.0,0.00,6.0,0,10.0
2018-12-31-18,1024.5,1028.2,16.0,13.8,87,3.1,80,10.3,90,T,1.0,0.0,0.00,-999,0,-999
2018-12-31-19,1024.7,1028.4,15.9,13.7,87,4.2,80,8.9,120,T,1.0,0.0,0.00,-999,0,-999
2018-12-31-20,1024.9,1028.6,16.0,13.8,87,3.6,100,9.6,80,T,1.0,-999,0.00,-999,0,-999
2018-12-31-21,1025.2,1028.9,16.1,13.9,87,3.4,90,8.2,90,T,1.0,-999,0.00,-999,0,-999
2018-12-31-22,1025.2,1028.9,16.0,14.1,88,2.8,90,8.0,100,0.5,1.0,-999,0.00,-999,0,-999
2018-12-31-23,1025.0,1028.7,16.1,14.3,89,2.9,90,7.8,70,T,1.0,-999,0.00,-999,0,-999
2018-12-31-24,1024.8,1028.5,16.1,14.3,89,2.9,100,7.4,70,T,1.0,-999,0.00,-999,0,-999
