,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2018-12-31-01,956.2,1028.4,11.7,10.8,94,5.7,30,11.3,10,1.0,1.0,-999,0.00,-999,-999,-999
2018-12-31-02,955.9,1028.1,11.7,10.7,94,4.6,40,12.0,360,2.0,1.0,-999,0.00,-999,-999,-999
2018-12-31-03,956.0,1028.2,11.8,10.8,94,1.2,340,11.0,80,2.5,1.0,-999,0.00,-999,-999,-999
2018-12-31-04,955.9,1028.1,11.8,10.8,94,3.8,30,14.9,10,2.0,1.0,-999,0.00,-999,-999,-999
2018-12-31-05,956.1,1028.2,12.1,11.1,94,4.0,40,12.5,30,1.5,1.0,-999,0.00,15.0,-999,10.0
2018-12-31-06,956.6,1028.8,12.0,11.0,94,2.3,60,9.2,20,3.0,1.0,0.0,0.00,-999,-999,-999
2018-12-31-07,957.0,1029.2,12.1,11.1,94,6.1,40,14.3,40,2.0,1.0,0.0,0.00,-999,-999,-999
2018-12-31-08,957.5,1029.7,12.3,11.3,94,3.3,60,12.3,30,2.0,1.0,0.0,0.00,6.0,-999,10.0
2018-12-31-09,958.0,1030.2,12.3,11.2,93,4.1,50,12.0,40,2.5,1.0,0.0,0.00,8.0,-999,10.0
2018-12-31-10,957.8,1030.0,12.4,11.4,94,3.0,40,9.7,30,2.0,1.0,0.0,0.05,-999,-999,-999
2018-12-31-11,956.9,1028.9,12.7,11.6,93,3.4,50,10.4,10,2.0,1.0,0.0,0.58,6.0,-999,10.0
2018-12-31-12,955.7,1027.6,12.8,11.7,93,5.0,30,11.8,10,2.0,1.0,0.0,0.69,-999,-999,-999
2018-12-31-13,954.9,1026.8,12.6,11.7,94,3.3,20,13.8,10,2.0,1.0,0.0,0.79,-999,-999,-999
2018-12-31-14,954.5,1026.4,12.4,11.4,94,4.8,40,12.5,10,2.5,1.0,0.0,0.84,5.0,-999,10.0
2018-12-31-15,955.0,1026.9,12.6,11.3,92,5.9,40,13.9,30,3.0,1.0,0.0,0.77,-999,-999,-999
2018-12-31-16,955.6,1027.7,12.2,10.9,92,4.6,50,12.9,30,3.5,1.0,0.0,0.45,-999,-999,-999
2018-12-31-17,956.2,1028.4,12.0,10.8,92,2.3,30,14.1,20,3.0,1.0,0.0,0.00,5.0,-999,10.0
2018-12-31-18,956.5,1028.7,11.9,10.8,93,4.0,30,14.8,10,3.5,1.0,0.0,0.00,-999,-999,-999
2018-12-31-19,956.5,1028.7,12.0,10.9,93,4.4,40,14.9,10,2.5,1.0,0.0,0.00,-999,-999,-999
2018-12-31-20,956.6,1028.8,12.0,11.0,94,4.1,50,14.2,30,2.5,1.0,-999,0.00,5.0,-999,10.0
2018-12-31-21,957.0,1029.2,12.2,11.1,93,3.7,50,11.4,10,2.0,1.0,-999,0.00,5.0,-999,10.0
2018-12-31-22,957.3,1029.5,12.2,11.1,93,3.5,50,13.1,50,2.5,1.0,-999,0.00,-999,-999,-999
2018-12-31-23,956.9,1029.0,12.3,11.0,92,4.2,50,13.2,70,2.0,1.0,-999,0.00,-999,-999,-999
2018-12-31-24,956.8,1029.0,11.9,10.9,94,5.0,30,13.9,20,2.5,1.0,-999,0.00,-999,-999,-999
