,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2018-12-31-01,1024.4,1027.8,15.9,13.8,87,5.6,20,11.5,20,1.0,1.0,-999,0.00,-999,0,-999
2018-12-31-02,1024.2,1027.6,15.9,13.9,88,4.7,20,10.3,30,2.0,1.0,-999,0.00,-999,0,-999
2018-12-31-03,1024.1,1027.5,16.2,14.2,88,6.1,10,12.7,360,1.0,1.0,-999,0.00,-999,0,-999
2018-12-31-04,1023.7,1027.1,16.1,14.1,88,4.8,10,12.5,360,4.0,1.0,-999,0.00,-999,0,-999
2018-12-31-05,1023.8,1027.2,16.4,14.3,87,5.2,20,11.6,20,3.5,1.0,-999,0.00,-999,0,-999
2018-12-31-06,1024.6,1028.0,16.4,14.3,87,4.8,10,10.1,40,6.0,1.0,0.0,0.00,-999,0,-999
2018-12-31-07,1025.1,1028.5,16.2,14.2,88,6.9,30,12.4,20,5.5,1.0,0.0,0.00,-999,0,-999
2018-12-31-08,1025.6,1029.0,16.5,13.9,85,4.8,40,10.9,40,2.5,1.0,0.0,0.00,6.0,0,10.0
2018-12-31-09,1025.9,1029.3,16.5,14.1,86,5.2,30,12.7,20,2.5,1.0,0.0,0.00,4.0,0,10.0
2018-12-31-10,1025.8,1029.2,16.4,14.2,87,3.9,10,11.1,10,4.5,1.0,0.0,0.02,-999,0,10.0
2018-12-31-11,1025.1,1028.5,16.6,14.6,88,4.9,30,11.8,40,5.0,1.0,0.0,0.15,2.5,1,10.0
2018-12-31-12,1023.9,1027.3,16.6,14.5,87,4.3,20,11.1,40,4.5,1.0,0.0,0.31,-999,1,10.0
2018-12-31-13,1023.3,1026.7,16.5,14.7,89,5.3,30,12.5,40,4.0,1.0,0.0,0.32,-999,1,10.0
2018-12-31-14,1023.1,1026.5,16.3,14.2,87,5.5,30,12.9,40,5.0,1.0,0.0,0.17,2.5,1,10.0
2018-12-31-15,1023.4,1026.8,16.2,14.1,87,6.1,30,12.6,10,2.0,1.0,0.0,0.11,-999,1,10.0
2018-12-31-16,1024.3,1027.7,16.2,14.0,87,6.6,30,11.1,40,4.0,1.0,0.0,0.00,-999,0,10.0
2018-12-31-17,1025.0,1028.4,16.0,13.9,87,6.2,30,12.8,30,5.0,1.0,0.0,0.00,3.0,0,10.0
2018-12-31-18,1025.3,1028.7,16.1,13.7,86,6.7,30,11.9,40,3.5,1.0,0.0,0.00,-999,0,-999
2018-12-31-19,1025.3,1028.7,16.1,13.7,86,5.3,40,15.4,30,2.5,1.0,0.0,0.00,-999,0,-999
2018-12-31-20,1025.4,1028.8,16.2,13.7,85,5.2,50,14.2,60,2.0,1.0,-999,0.00,-999,0,-999
2018-12-31-21,1025.7,1029.1,16.4,14.1,86,5.8,50,14.9,50,1.0,1.0,-999,0.00,-999,0,-999
2018-12-31-22,1025.6,1029.0,16.3,14.3,88,4.9,50,11.6,60,2.0,1.0,-999,0.00,-999,0,-999
2018-12-31-23,1025.6,1029.0,16.5,14.4,87,4.7,40,12.3,50,1.5,1.0,-999,0.00,-999,0,-999
2018-12-31-24,1025.5,1028.9,16.1,14.1,88,6.7,30,11.6,40,1.5,1.0,-999,0.00,-999,0,-999
