,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2018-12-31-01,1016.0,1028.7,15.1,13.2,88,11.1,40,16.6,40,0.5,1.0,-999,0.00,-999,-999,-999
2018-12-31-02,1015.5,1028.2,14.8,13.2,90,12.0,30,17.4,30,1.0,1.0,-999,0.00,-999,-999,-999
2018-12-31-03,1015.5,1028.2,15.0,13.4,90,11.4,40,17.6,30,0.5,1.0,-999,0.00,-999,-999,-999
2018-12-31-04,1015.3,1028.0,15.2,13.6,90,12.8,30,20.1,40,0.5,1.0,-999,0.00,-999,-999,-999
2018-12-31-05,1015.4,1028.1,15.4,13.4,88,13.2,40,18.1,30,T,0.5,-999,0.00,15.0,-999,10.0
2018-12-31-06,1016.1,1028.8,15.2,13.1,87,12.3,40,19.7,50,T,0.5,0.0,0.00,-999,-999,-999
2018-12-31-07,1016.5,1029.2,15.5,13.0,85,12.2,50,18.6,50,0.0,0.0,0.0,0.00,-999,-999,-999
2018-12-31-08,1016.8,1029.4,16.1,12.7,80,12.7,50,18.6,40,0.5,0.5,0.0,0.00,15.0,-999,10.0
2018-12-31-09,1017.2,1029.9,15.7,13.5,87,11.9,50,18.2,30,0.5,1.0,0.0,0.03,15.0,-999,10.0
2018-12-31-10,1017.3,1030.0,15.7,13.7,88,13.2,40,19.1,30,1.0,1.0,0.0,0.03,-999,-999,-999
2018-12-31-11,1016.5,1029.2,15.5,14.0,91,12.4,40,19.4,30,0.5,1.0,0.0,0.47,10.0,-999,10.0
2018-12-31-12,1015.0,1027.6,15.6,14.0,90,12.2,40,21.1,30,0.5,1.0,0.0,0.64,-999,-999,-999
2018-12-31-13,1014.6,1027.2,15.4,13.5,88,13.9,40,21.4,70,T,1.0,0.0,0.51,-999,-999,-999
2018-12-31-14,1014.2,1026.8,15.3,13.4,88,11.8,40,21.0,40,T,1.0,0.0,0.39,10.0,-999,10.0
2018-12-31-15,1014.6,1027.3,15.1,13.3,89,13.7,40,20.7,60,0.5,1.0,0.0,0.09,-999,-999,-999
2018-12-31-16,1015.5,1028.2,15.2,13.0,87,14.6,40,20.9,50,T,1.0,0.0,0.06,-999,-999,-999
2018-12-31-17,1016.1,1028.8,15.5,13.2,86,13.8,40,23.7,40,T,1.0,0.0,0.00,10.0,-999,10.0
2018-12-31-18,1016.4,1029.1,15.4,12.8,84,13.0,50,21.1,50,T,0.5,0.0,0.00,-999,-999,-999
2018-12-31-19,1016.3,1028.9,15.9,12.7,81,13.8,50,21.9,40,0.0,0.0,0.0,0.00,-999,-999,-999
2018-12-31-20,1016.4,1029.1,15.9,12.7,81,14.5,50,22.4,50,0.0,0.0,-999,0.00,15.0,-999,10.0
2018-12-31-21,1016.6,1029.2,16.0,13.2,83,14.3,50,22.9,50,0.0,0.0,-999,0.00,15.0,-999,10.0
2018-12-31-22,1016.8,1029.5,16.0,13.0,82,14.0,50,22.7,40,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-23,1016.8,1029.5,15.7,13.3,86,13.8,40,21.0,50,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-24,1016.4,1029.1,15.7,13.3,86,13.3,40,20.0,60,0.5,1.0,-999,0.00,-999,-999,-999
