,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2018-12-31-01,1024.0,1026.3,18.1,15.3,84,1.9,340,6.0,70,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-02,1023.5,1025.8,18.2,14.9,81,1.4,360,2.7,330,0.0,0.0,-999,0.00,10.0,0,10.0
2018-12-31-03,1023.4,1025.7,18.2,14.3,78,1.2,10,3.2,30,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-04,1023.5,1025.8,19.1,14.9,77,2.6,30,7.9,50,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-05,1023.5,1025.8,19.3,15.0,76,2.2,40,6.3,80,0.0,0.0,-999,0.00,10.0,0,10.0
2018-12-31-06,1024.0,1026.3,18.8,14.2,75,1.9,360,4.3,110,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-07,1024.4,1026.7,18.5,14.5,78,0.5,320,2.7,350,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-08,1025.1,1027.4,18.4,14.4,78,1.9,330,2.8,320,0.0,0.0,0.0,0.00,15.0,0,10.0
2018-12-31-09,1025.5,1027.8,19.3,14.6,74,1.6,330,3.0,330,0.0,0.0,0.0,0.36,15.0,0,10.0
2018-12-31-10,1025.2,1027.5,20.4,15.4,73,3.1,50,8.4,50,0.0,0.0,0.0,0.54,-999,1,10.0
2018-12-31-11,1024.6,1026.9,20.8,15.5,72,4.6,60,9.1,50,0.0,0.0,0.0,0.60,15.0,2,10.0
2018-12-31-12,1023.1,1025.4,20.9,15.5,71,5.3,70,10.5,70,0.0,0.0,0.0,1.09,-999,3,10.0
2018-12-31-13,1022.7,1025.0,20.7,15.4,72,4.9,60,11.4,60,0.0,0.0,0.0,1.02,-999,2,10.0
2018-12-31-14,1022.0,1024.3,21.2,15.4,69,3.9,60,9.6,50,0.0,0.0,0.0,0.87,15.0,2,10.0
2018-12-31-15,1022.3,1024.6,20.8,15.6,72,4.0,50,9.0,50,0.0,0.0,0.0,0.60,-999,1,10.0
2018-12-31-16,1023.3,1025.6,20.9,15.5,71,3.2,40,9.0,90,0.0,0.0,0.0,0.16,-999,0,10.0
2018-12-31-17,1024.2,1026.5,20.8,15.6,72,5.2,60,9.4,50,0.0,0.0,0.0,0.02,15.0,0,10.0
2018-12-31-18,1024.6,1026.9,19.8,15.9,78,7.5,70,12.9,70,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-19,1025.1,1027.4,19.1,16.0,82,6.3,70,11.7,70,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-20,1025.1,1027.4,18.6,16.3,86,4.2,60,10.4,90,T,0.8,-999,0.00,8.0,0,10.0
2018-12-31-21,1025.4,1027.7,18.1,16.0,88,5.8,60,10.6,70,0.5,1.0,-999,0.00,8.0,0,10.0
2018-12-31-22,1025.6,1027.9,18.7,16.6,88,5.0,60,10.9,50,0.5,1.0,-999,0.00,-999,0,-999
2018-12-31-23,1025.3,1027.6,18.8,16.4,86,5.4,50,11.1,60,T,0.5,-999,0.00,10.0,0,10.0
2018-12-31-24,1025.0,1027.3,19.2,16.0,82,5.3,60,9.5,70,0.0,0.0,-999,0.00,-999,0,-999
