,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2018-12-31-01,1024.3,1026.9,15.5,12.6,83,9.9,50,17.9,50,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-02,1024.4,1027.0,14.9,12.3,84,9.1,50,17.7,50,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-03,1024.3,1026.9,15.0,12.6,86,9.0,50,16.7,50,T,0.6,-999,0.00,-999,0,-999
2018-12-31-04,1024.3,1026.9,14.7,12.7,88,8.7,50,16.5,50,0.1,1.0,-999,0.00,-999,0,-999
2018-12-31-05,1024.6,1027.2,15.1,13.4,90,9.0,50,15.1,50,T,0.3,-999,0.00,10.0,0,10.0
2018-12-31-06,1024.5,1027.1,15.2,13.2,88,8.5,50,15.0,40,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-07,1024.9,1027.5,15.4,14.0,91,9.3,60,15.7,50,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-08,1025.4,1028.0,15.7,14.0,90,9.0,50,15.7,60,0.0,0.0,0.0,0.00,10.0,0,10.0
2018-12-31-09,1025.9,1028.5,15.7,13.3,86,10.1,50,16.2,50,0.0,0.0,0.0,0.00,10.0,0,10.0
2018-12-31-10,1025.6,1028.2,15.6,14.0,90,9.3,50,17.5,50,0.0,0.0,0.0,0.04,-999,1,-999
2018-12-31-11,1024.7,1027.3,16.0,14.3,90,11.0,50,17.3,50,0.0,0.0,0.0,0.46,12.0,1,10.0
2018-12-31-12,1023.7,1026.3,15.7,13.5,87,8.8,50,17.5,60,T,0.4,0.0,0.43,-999,1,-999
2018-12-31-13,1022.9,1025.5,15.7,13.9,89,10.5,50,19.6,40,0.1,0.3,0.0,0.62,-999,2,-999
2018-12-31-14,1022.2,1024.8,15.8,14.7,93,11.6,50,19.6,50,0.0,0.0,0.0,0.56,10.0,2,10.0
2018-12-31-15,1022.7,1025.3,15.7,14.1,90,10.3,50,19.2,50,0.0,0.0,0.0,0.47,-999,1,-999
2018-12-31-16,1023.6,1026.2,15.7,13.8,88,11.2,50,18.8,50,0.0,0.0,0.0,0.04,-999,0,-999
2018-12-31-17,1024.2,1026.8,15.8,13.4,86,11.3,50,19.0,60,0.0,0.0,0.0,0.00,12.0,0,9.0
2018-12-31-18,1024.4,1027.0,15.6,13.5,87,11.0,60,19.1,70,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-19,1024.3,1026.9,15.8,13.3,85,9.8,60,19.0,50,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-20,1024.5,1027.1,15.9,13.4,85,10.5,60,18.0,50,0.0,0.0,-999,0.00,10.0,0,9.0
2018-12-31-21,1024.6,1027.2,16.2,13.6,85,9.2,60,17.6,60,0.0,0.0,-999,0.00,10.0,0,9.0
2018-12-31-22,1024.8,1027.4,16.2,13.6,85,9.0,60,15.4,60,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-23,1024.5,1027.1,16.2,13.9,86,9.8,60,17.3,60,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-24,1024.4,1027.0,15.9,13.7,87,10.3,50,17.9,60,0.0,0.0,-999,0.00,-999,0,-999
