,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2018-12-31-01,1024.2,1027.3,15.6,14.7,94,1.1,290,6.6,320,8.0,1.0,-999,0.00,-999,-999,-999
2018-12-31-02,1023.8,1026.9,15.7,14.3,91,5.9,310,9.3,320,5.5,1.0,-999,0.00,-999,-999,-999
2018-12-31-03,1023.6,1026.7,15.8,15.8,100,4.9,300,9.5,320,6.0,1.0,-999,0.00,-999,-999,-999
2018-12-31-04,1023.7,1026.8,15.5,15.5,100,5.3,290,8.1,290,9.0,1.0,-999,0.00,-999,-999,-999
2018-12-31-05,1023.5,1026.6,15.4,15.4,100,4.8,280,10.2,290,6.5,1.0,-999,0.00,-999,-999,-999
2018-12-31-06,1024.2,1027.3,15.6,15.6,100,6.1,280,9.8,290,3.0,1.0,0.0,0.00,-999,-999,-999
2018-12-31-07,1024.8,1027.9,15.7,15.7,100,7.1,280,10.2,270,1.0,1.0,0.0,0.00,-999,-999,-999
2018-12-31-08,1025.5,1028.6,16.1,15.5,96,5.1,260,9.5,250,3.0,1.0,0.0,0.00,3.0,-999,10.0
2018-12-31-09,1025.7,1028.8,16.3,15.3,94,4.0,300,6.5,260,4.0,1.0,0.0,0.00,3.0,-999,10.0
2018-12-31-10,1025.6,1028.7,16.5,15.4,93,5.0,280,9.1,290,T,1.0,0.0,0.00,-999,-999,-999
2018-12-31-11,1024.7,1027.8,16.5,15.4,93,6.0,280,10.6,300,T,1.0,0.0,0.06,3.0,-999,10.0
2018-12-31-12,1023.7,1026.8,16.3,16.3,100,5.3,290,8.9,260,4.5,1.0,0.0,0.45,-999,-999,-999
2018-12-31-13,1023.4,1026.5,16.3,16.3,100,2.8,270,9.2,360,9.5,1.0,0.0,0.02,-999,-999,-999
2018-12-31-14,1023.0,1026.1,16.5,16.5,100,2.0,300,8.5,10,7.5,1.0,0.0,0.04,3.0,-999,10.0
2018-12-31-15,1023.1,1026.2,16.1,16.1,100,4.1,270,9.2,260,10.0,1.0,0.0,0.00,-999,-999,-999
2018-12-31-16,1024.1,1027.2,16.2,16.2,100,1.8,360,10.2,320,24.5,1.0,0.0,0.00,-999,-999,-999
2018-12-31-17,1024.7,1027.8,17.0,17.0,100,5.4,60,11.9,50,5.5,1.0,0.0,0.00,3.0,-999,10.0
2018-12-31-18,1024.8,1027.9,17.0,17.0,100,5.9,60,13.6,80,4.0,1.0,0.0,0.00,-999,-999,-999
2018-12-31-19,1025.2,1028.3,16.9,16.9,100,5.7,60,12.7,80,4.0,1.0,0.0,0.00,-999,-999,-999
2018-12-31-20,1025.5,1028.6,16.6,16.6,100,4.7,60,14.1,70,7.0,1.0,-999,0.00,-999,-999,-999
2018-12-31-21,1025.9,1029.0,16.5,16.5,100,5.0,60,13.6,70,8.5,1.0,-999,0.00,-999,-999,-999
2018-12-31-22,1025.8,1028.9,16.5,16.5,100,2.3,20,9.3,80,7.0,1.0,-999,0.00,-999,-999,-999
2018-12-31-23,1025.7,1028.8,16.5,16.5,100,2.2,20,8.3,10,11.5,1.0,-999,0.00,-999,-999,-999
2018-12-31-24,1025.5,1028.6,15.9,15.9,100,2.9,340,7.3,340,16.0,1.0,-999,0.00,-999,-999,-999
