,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2018-12-31-01,1025.8,1030.2,13.0,6.7,66,3.8,40,11.1,40,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-02,1025.3,1029.7,12.8,6.5,65,4.2,40,9.7,40,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-03,1024.9,1029.3,12.7,6.5,66,4.0,50,8.8,60,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-04,1025.0,1029.4,12.5,6.4,66,4.2,50,9.6,40,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-05,1025.3,1029.7,12.5,6.6,67,4.2,60,10.1,50,0.0,0.0,-999,0.00,25.0,0,10.0
2018-12-31-06,1025.2,1029.6,12.2,7.3,72,3.9,40,12.0,40,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-07,1025.9,1030.3,12.1,7.3,72,4.2,40,10.6,30,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-08,1026.4,1030.8,12.3,7.8,74,3.7,50,10.9,40,0.0,0.0,0.0,0.00,20.0,0,10.0
2018-12-31-09,1026.8,1031.2,13.1,7.6,69,3.7,50,11.7,50,0.0,0.0,0.0,0.24,25.0,0,10.0
2018-12-31-10,1026.4,1030.8,13.8,8.0,68,4.8,50,11.7,40,0.0,0.0,0.0,0.66,-999,1,-999
2018-12-31-11,1026.0,1030.4,14.5,8.6,68,4.0,50,11.9,40,0.0,0.0,0.0,1.01,20.0,3,9.0
2018-12-31-12,1024.8,1029.2,15.1,8.5,65,4.1,50,11.0,30,0.0,0.0,0.0,0.98,-999,3,-999
2018-12-31-13,1023.9,1028.3,15.5,8.3,62,4.5,60,10.9,50,0.0,0.0,0.0,0.93,-999,3,-999
2018-12-31-14,1023.2,1027.6,15.9,8.3,61,5.2,60,12.7,50,0.0,0.0,0.1,1.50,20.0,4,10.0
2018-12-31-15,1023.4,1027.8,15.5,8.3,62,5.3,50,12.9,70,0.0,0.0,0.1,1.24,-999,3,-999
2018-12-31-16,1024.1,1028.5,15.2,8.3,63,4.2,60,13.6,60,0.0,0.0,0.0,0.67,-999,1,-999
2018-12-31-17,1024.9,1029.3,14.2,7.9,66,4.5,60,12.4,60,0.0,0.0,0.0,0.25,20.0,0,7.0
2018-12-31-18,1025.0,1029.4,13.8,7.8,67,5.3,50,12.9,40,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-19,1025.3,1029.7,13.8,8.0,68,4.3,60,12.4,30,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-20,1025.5,1029.9,13.7,7.9,68,4.1,50,11.6,50,0.0,0.0,-999,0.00,20.0,0,10.0
2018-12-31-21,1025.8,1030.2,13.5,7.7,68,3.9,40,11.6,50,0.0,0.0,-999,0.00,20.0,0,10.0
2018-12-31-22,1026.0,1030.4,13.6,7.8,68,4.8,40,13.2,30,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-23,1025.7,1030.1,13.4,7.8,69,3.9,40,11.0,40,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-24,1025.4,1029.8,13.6,7.9,68,4.8,40,9.8,40,0.0,0.0,-999,0.00,-999,0,-999
