,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2018-12-31-01,1019.7,1025.1,18.6,14.7,78,13.9,30,21.2,20,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-02,1019.2,1024.6,18.4,14.9,80,14.0,30,20.6,30,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-03,1018.8,1024.2,18.4,15.1,81,15.1,30,21.1,30,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-04,1018.5,1023.9,18.5,15.0,80,14.4,30,21.8,20,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-05,1019.1,1024.5,18.3,14.7,80,15.1,30,22.3,20,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-06,1019.2,1024.6,18.5,15.0,80,16.4,40,21.4,40,0.0,0.0,0.0,0.00,-999,-999,-999
2018-12-31-07,1019.7,1025.1,18.7,15.1,80,15.7,40,21.0,40,0.0,0.0,0.0,0.00,-999,-999,-999
2018-12-31-08,1020.1,1025.5,19.0,15.4,80,13.3,40,19.7,40,0.0,0.0,0.0,0.00,18.0,-999,10.0
2018-12-31-09,1020.3,1025.7,19.1,15.6,80,14.3,30,20.4,20,0.0,0.0,0.0,0.24,18.0,-999,10.0
2018-12-31-10,1020.0,1025.4,19.3,15.0,76,15.9,30,23.2,30,0.0,0.0,0.0,0.59,-999,-999,-999
2018-12-31-11,1019.4,1024.8,19.6,15.2,76,15.3,40,22.5,30,0.0,0.0,0.0,0.99,18.0,-999,10.0
2018-12-31-12,1018.5,1023.9,19.3,14.7,75,15.8,40,23.6,30,0.0,0.0,0.0,1.08,-999,-999,-999
2018-12-31-13,1017.6,1023.0,19.2,15.4,79,14.6,30,20.6,30,0.0,0.0,0.0,1.08,-999,-999,-999
2018-12-31-14,1017.2,1022.6,19.2,15.0,77,15.4,40,22.9,30,0.0,0.0,0.0,0.88,15.0,-999,10.0
2018-12-31-15,1017.6,1023.0,19.1,15.0,77,15.2,40,22.7,40,0.0,0.0,0.0,0.63,-999,-999,-999
2018-12-31-16,1018.4,1023.8,19.1,15.1,78,15.0,40,21.6,40,0.0,0.0,0.0,0.63,-999,-999,-999
2018-12-31-17,1018.3,1023.7,18.6,14.9,79,16.2,30,23.2,30,0.0,0.0,0.0,0.00,15.0,-999,10.0
2018-12-31-18,1018.5,1023.9,18.9,14.8,77,16.0,40,23.1,30,0.0,0.0,0.0,0.00,-999,-999,-999
2018-12-31-19,1019.2,1024.6,19.0,15.6,81,15.1,40,22.8,30,0.0,0.0,0.0,0.00,-999,-999,-999
2018-12-31-20,1019.3,1024.7,19.2,15.5,79,15.4,40,22.4,40,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-21,1019.7,1025.1,18.9,14.9,78,15.9,40,21.8,30,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-22,1019.7,1025.1,19.2,15.1,77,14.6,30,21.3,30,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-23,1019.4,1024.8,19.0,15.1,78,14.4,30,21.7,10,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-24,1019.3,1024.7,19.2,15.0,77,15.6,30,22.9,30,0.0,0.0,-999,0.00,-999,-999,-999
