,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2018-12-31-01,1024.2,1025.6,17.2,13.8,80,6.8,20,16.0,360,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-02,1024.0,1025.4,17.1,14.1,83,6.6,20,15.2,30,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-03,1024.1,1025.5,17.3,14.0,81,7.0,30,14.5,10,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-04,1023.9,1025.3,17.3,13.9,80,6.3,20,15.3,30,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-05,1023.8,1025.2,17.4,14.0,80,6.8,30,16.5,30,0.0,0.0,-999,0.00,10.0,0,8.0
2018-12-31-06,1023.7,1025.1,17.5,14.2,81,6.8,30,15.9,10,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-07,1024.3,1025.7,17.7,14.2,80,6.5,30,15.9,30,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-08,1024.7,1026.1,18.0,14.5,80,6.5,20,15.1,20,0.0,0.0,0.0,0.00,15.0,0,10.0
2018-12-31-09,1025.6,1027.0,18.1,14.6,80,6.3,30,16.2,20,0.0,0.0,0.0,0.00,18.0,0,10.0
2018-12-31-10,1024.9,1026.3,18.0,15.1,83,6.5,20,15.9,10,0.0,0.0,0.0,0.25,-999,1,10.0
2018-12-31-11,1024.2,1025.6,17.5,14.9,85,7.2,20,14.9,360,0.0,0.0,0.0,0.55,8.0,2,10.0
2018-12-31-12,1023.1,1024.5,17.1,14.5,85,7.5,20,18.1,10,0.0,0.0,0.0,0.50,-999,2,10.0
2018-12-31-13,1022.4,1023.8,17.4,14.5,83,8.3,20,18.0,30,0.0,0.0,0.0,0.60,-999,2,10.0
2018-12-31-14,1022.1,1023.5,17.4,14.7,84,7.5,20,17.5,10,0.0,0.0,0.0,0.60,10.0,2,10.0
2018-12-31-15,1022.4,1023.8,17.6,14.9,84,6.7,20,16.0,10,0.0,0.0,0.0,0.34,-999,1,10.0
2018-12-31-16,1022.9,1024.3,17.4,14.5,83,7.0,20,16.3,20,0.0,0.0,0.0,0.48,-999,1,10.0
2018-12-31-17,1023.5,1024.9,16.9,14.3,85,8.2,20,17.6,360,0.0,0.0,0.0,0.02,10.0,0,10.0
2018-12-31-18,1023.4,1024.8,17.4,14.7,84,7.4,20,17.6,30,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-19,1023.6,1025.0,17.9,14.4,80,6.8,30,17.8,40,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-20,1023.6,1025.0,18.0,14.4,79,8.0,30,16.5,50,0.0,0.0,-999,0.00,10.0,0,9.0
2018-12-31-21,1023.9,1025.3,18.0,14.5,80,7.0,20,16.5,20,0.0,0.0,-999,0.00,10.0,0,10.0
2018-12-31-22,1024.0,1025.4,18.0,14.5,80,7.9,20,17.3,30,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-23,1024.0,1025.4,18.0,14.3,79,7.0,30,17.0,10,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-24,1023.6,1025.0,18.1,14.5,79,7.7,20,15.8,20,0.0,0.0,-999,0.00,-999,0,-999
