,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2018-12-31-01,1022.7,1023.9,17.4,12.8,74,4.2,360,7.0,330,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-02,1022.5,1023.7,17.2,12.7,75,4.5,360,8.8,350,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-03,1022.2,1023.4,17.1,12.7,75,5.0,360,9.3,360,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-04,1022.1,1023.3,16.9,12.5,75,4.5,10,9.0,10,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-05,1022.3,1023.5,16.8,12.5,76,4.4,10,7.5,10,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-06,1023.3,1024.5,16.7,12.4,76,3.8,360,7.0,360,0.0,0.0,0.0,0.00,-999,-999,-999
2018-12-31-07,1022.8,1024.0,16.4,12.5,78,5.6,360,8.3,360,0.0,0.0,0.0,0.00,-999,-999,-999
2018-12-31-08,1023.1,1024.3,16.8,12.8,77,4.6,360,7.9,350,0.0,0.0,0.0,0.02,-999,-999,-999
2018-12-31-09,1023.7,1024.9,17.7,13.3,75,4.3,360,7.9,360,0.0,0.0,0.0,0.60,-999,-999,-999
2018-12-31-10,1023.4,1024.6,19.3,14.0,71,5.3,360,8.1,360,0.0,0.0,0.1,0.97,-999,-999,-999
2018-12-31-11,1022.4,1023.5,20.6,14.5,68,4.5,350,10.0,10,0.0,0.0,0.0,1.25,-999,-999,-999
2018-12-31-12,1021.1,1022.2,21.0,14.6,67,5.3,360,10.9,20,0.0,0.0,0.2,1.60,-999,-999,-999
2018-12-31-13,1020.5,1021.6,21.3,14.7,66,5.5,360,10.2,350,0.0,0.0,0.0,1.22,-999,-999,-999
2018-12-31-14,1020.1,1021.2,21.4,14.7,66,4.4,360,8.5,10,0.0,0.0,0.0,0.89,-999,-999,-999
2018-12-31-15,1020.2,1021.3,20.9,14.5,67,5.0,350,7.3,350,0.0,0.0,0.0,0.60,-999,-999,-999
2018-12-31-16,1020.9,1022.0,20.6,14.5,68,4.8,350,8.3,10,0.0,0.0,0.0,0.55,-999,-999,-999
2018-12-31-17,1021.7,1022.8,20.2,14.4,69,2.9,350,8.1,360,0.0,0.0,0.0,0.15,-999,-999,-999
2018-12-31-18,1021.9,1023.1,18.4,13.7,74,3.8,340,8.6,340,0.0,0.0,0.0,0.00,-999,-999,-999
2018-12-31-19,1022.1,1023.3,17.8,13.5,76,3.6,360,8.5,350,0.0,0.0,0.0,0.00,-999,-999,-999
2018-12-31-20,1022.0,1023.2,17.7,13.5,76,3.9,360,6.9,20,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-21,1022.4,1023.6,17.2,13.3,78,2.5,360,6.7,360,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-22,1022.5,1023.7,17.0,13.2,78,2.9,350,5.7,360,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-23,1022.9,1024.1,17.0,13.2,78,3.1,360,6.0,20,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-24,1022.6,1023.8,16.6,13.0,79,3.1,360,5.9,10,0.0,0.0,-999,0.00,-999,-999,-999
