,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2018-12-31-01,1023.1,1023.5,20.0,13.8,67,2.2,20,5.0,10,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-02,1022.8,1023.2,19.6,13.9,70,2.6,350,5.2,360,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-03,1022.9,1023.3,19.0,13.7,71,3.3,10,6.1,360,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-04,1022.9,1023.3,18.9,13.6,71,3.3,360,6.8,350,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-05,1023.4,1023.8,18.7,13.5,72,2.0,30,6.3,360,0.0,0.0,-999,0.00,12.0,0,10.0
2018-12-31-06,1023.3,1023.7,18.8,13.6,72,3.3,360,5.8,360,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-07,1023.6,1024.0,18.6,13.8,74,4.0,350,6.6,350,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-08,1023.9,1024.3,18.9,14.0,73,2.4,20,6.4,360,0.0,0.0,0.1,0.06,12.0,0,9.0
2018-12-31-09,1024.2,1024.6,19.8,14.4,71,2.3,10,4.7,30,0.0,0.0,0.1,0.60,10.0,1,9.0
2018-12-31-10,1024.0,1024.4,21.0,14.8,68,1.5,300,4.2,360,0.0,0.0,0.0,0.88,-999,2,9.0
2018-12-31-11,1023.0,1023.4,21.8,14.4,63,2.5,360,4.8,360,0.0,0.0,0.0,1.07,10.0,4,9.0
2018-12-31-12,1022.1,1022.5,22.4,14.9,63,2.7,350,5.0,360,0.0,0.0,0.1,1.42,-999,5,9.0
2018-12-31-13,1021.5,1021.9,22.7,14.8,61,2.2,350,4.8,360,0.0,0.0,0.0,0.63,-999,3,9.0
2018-12-31-14,1020.8,1021.2,23.5,15.1,59,1.4,350,3.2,340,0.0,0.0,0.0,0.70,10.0,3,9.0
2018-12-31-15,1021.1,1021.5,23.8,14.7,57,0.8,350,3.2,350,0.0,0.0,0.0,0.81,-999,2,9.0
2018-12-31-16,1021.6,1022.0,23.9,14.9,57,1.4,320,3.0,310,0.0,0.0,0.0,0.48,-999,1,9.0
2018-12-31-17,1022.1,1022.5,23.1,14.7,59,2.3,350,4.1,360,0.0,0.0,0.0,0.00,12.0,0,9.0
2018-12-31-18,1022.4,1022.8,22.3,14.8,63,2.7,360,4.4,360,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-19,1022.8,1023.2,21.7,15.0,66,3.0,350,5.0,360,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-20,1022.7,1023.1,21.0,15.0,69,2.6,10,5.1,360,0.0,0.0,-999,0.00,10.0,0,9.0
2018-12-31-21,1023.0,1023.4,20.7,15.1,70,1.7,20,4.1,30,0.0,0.0,-999,0.00,10.0,0,9.0
2018-12-31-22,1023.2,1023.6,20.5,15.1,71,1.2,20,3.4,10,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-23,1023.5,1023.9,20.3,15.2,73,1.9,350,3.2,30,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-24,1023.4,1023.8,19.8,14.9,73,2.0,10,4.0,10,0.0,0.0,-999,0.00,-999,0,-999
