,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2018-12-31-01,1021.0,1024.4,17.0,13.2,78,3.9,20,7.8,10,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-02,1020.5,1023.9,16.8,13.3,80,3.1,20,6.6,20,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-03,1020.6,1024.0,16.8,13.4,80,3.4,20,6.7,30,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-04,1020.6,1024.0,16.9,13.4,80,2.8,360,6.2,10,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-05,1020.6,1024.0,16.6,13.3,81,3.0,20,7.8,340,0.0,0.0,-999,0.00,15.0,0,9.0
2018-12-31-06,1021.2,1024.7,16.6,13.4,81,2.9,10,6.1,30,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-07,1021.4,1024.9,16.4,13.4,82,2.7,20,7.1,10,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-08,1021.1,1024.5,16.9,13.7,81,1.8,10,5.0,30,0.0,0.0,0.0,0.00,18.0,0,9.0
2018-12-31-09,1021.8,1025.2,18.1,14.2,78,2.6,10,5.5,360,0.0,0.0,0.0,0.48,18.0,1,9.0
2018-12-31-10,1021.8,1025.2,18.9,14.2,74,3.4,10,7.0,360,0.0,0.0,0.0,0.67,-999,2,9.0
2018-12-31-11,1020.8,1024.2,19.9,14.2,70,4.4,20,8.0,20,0.0,0.0,0.0,0.96,18.0,3,9.0
2018-12-31-12,1019.4,1022.8,20.7,14.4,67,3.8,20,7.1,30,0.0,0.0,0.0,1.20,-999,4,9.0
2018-12-31-13,1018.7,1022.1,21.4,14.7,66,3.8,10,6.3,20,0.0,0.0,0.1,1.44,-999,5,9.0
2018-12-31-14,1018.1,1021.5,21.4,14.8,66,2.5,350,6.5,360,0.0,0.0,0.0,1.17,13.0,4,7.0
2018-12-31-15,1018.6,1022.0,21.4,14.8,66,2.9,10,5.5,30,0.0,0.0,0.0,0.60,-999,2,8.0
2018-12-31-16,1019.2,1022.6,21.5,14.7,65,3.3,360,6.2,10,0.0,0.0,0.1,0.65,-999,1,8.0
2018-12-31-17,1019.8,1023.2,20.0,14.4,70,3.6,10,7.3,360,0.0,0.0,0.1,0.36,13.0,0,7.0
2018-12-31-18,1020.2,1023.6,18.7,14.3,76,2.9,360,7.1,320,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-19,1020.4,1023.8,17.8,14.0,78,3.3,360,6.5,350,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-20,1020.2,1023.6,17.1,14.0,82,2.0,360,4.6,360,0.0,0.0,-999,0.00,15.0,0,7.0
2018-12-31-21,1020.5,1024.0,16.2,13.6,85,1.8,10,4.9,10,0.0,0.0,-999,0.00,13.0,0,3.0
2018-12-31-22,1020.6,1024.1,16.1,13.8,86,1.0,20,3.1,30,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-23,1020.7,1024.2,16.3,13.9,86,0.4,360,4.0,10,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-24,1020.7,1024.2,15.3,13.5,89,0.7,20,1.9,360,0.0,0.0,-999,0.00,-999,0,-999
