,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2018-12-31-01,1014.7,1025.0,16.5,12.8,79,2.6,350,6.9,340,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-02,1014.5,1024.8,16.4,12.8,79,2.0,350,6.7,340,0.0,0.0,-999,0.00,15.0,0,10.0
2018-12-31-03,1014.2,1024.5,16.5,12.8,79,2.4,10,7.1,30,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-04,1014.4,1024.7,16.5,12.8,79,2.5,340,6.2,20,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-05,1014.4,1024.7,16.5,13.0,80,2.9,10,7.7,350,0.0,0.0,-999,0.00,15.0,0,9.0
2018-12-31-06,1015.0,1025.3,16.7,13.0,79,2.7,360,6.6,360,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-07,1014.5,1024.8,16.8,13.0,78,0.6,40,6.3,30,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-08,1014.9,1025.1,17.2,13.2,77,1.3,360,4.3,340,0.0,0.0,0.0,0.00,15.0,0,9.0
2018-12-31-09,1015.4,1025.6,17.5,13.4,77,2.6,360,6.3,350,0.0,0.0,0.0,0.32,18.0,1,9.0
2018-12-31-10,1015.2,1025.4,18.7,13.8,73,2.1,360,7.0,360,0.0,0.0,0.0,0.62,-999,2,10.0
2018-12-31-11,1014.3,1024.5,19.2,13.9,71,2.8,360,8.4,360,0.0,0.0,0.0,1.02,20.0,3,10.0
2018-12-31-12,1013.0,1023.1,19.9,14.3,70,2.5,350,7.3,350,0.0,0.0,0.0,1.20,-999,3,10.0
2018-12-31-13,1012.0,1022.1,20.5,14.2,67,2.3,350,8.7,350,0.0,0.0,0.0,1.20,-999,4,10.0
2018-12-31-14,1011.8,1021.9,20.0,14.1,69,3.2,330,8.3,320,0.0,0.0,0.1,1.40,20.0,3,9.0
2018-12-31-15,1011.9,1022.0,20.7,14.3,67,2.9,340,7.6,20,0.0,0.0,0.5,1.34,-999,3,6.0
2018-12-31-16,1012.6,1022.7,20.2,14.1,68,1.5,330,8.6,10,0.0,0.0,0.2,0.80,-999,1,9.0
2018-12-31-17,1013.4,1023.6,18.9,13.8,72,2.8,340,6.4,320,0.0,0.0,0.7,0.41,15.0,0,7.0
2018-12-31-18,1013.5,1023.7,18.3,13.7,75,2.5,340,6.2,320,0.0,0.0,0.1,0.00,-999,0,-999
2018-12-31-19,1013.6,1023.8,17.3,13.3,77,1.5,320,6.1,330,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-20,1013.6,1023.8,17.2,13.4,78,1.5,330,4.6,310,0.0,0.0,-999,0.00,20.0,0,9.0
2018-12-31-21,1013.9,1024.1,17.3,13.5,78,1.3,330,4.7,340,0.0,0.0,-999,0.00,20.0,0,7.0
2018-12-31-22,1013.9,1024.1,17.6,13.7,78,2.2,10,4.2,20,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-23,1013.9,1024.1,17.4,13.6,78,0.8,300,3.1,350,0.0,0.0,-999,0.00,20.0,0,9.0
2018-12-31-24,1014.0,1024.2,17.1,13.4,79,0.4,310,1.9,310,0.0,0.0,-999,0.00,-999,0,-999
