,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2018-12-31-01,769.4,3195.1,7.8,5.3,84,0.2,0,3.0,210,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-02,768.8,3188.6,8.3,5.2,81,0.6,250,2.0,220,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-03,769.3,3196.3,8.2,5.1,81,0.9,250,2.8,280,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-04,769.3,3194.7,7.6,4.6,81,0.6,210,3.3,250,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-05,769.3,3191.7,7.6,4.3,80,1.1,290,2.5,280,0.0,0.0,-999,0.00,30.0,-999,10.0
2018-12-31-06,769.7,3195.4,7.6,4.4,80,1.1,290,2.5,270,0.0,0.0,0.0,0.00,-999,-999,-999
2018-12-31-07,770.1,3200.1,7.4,4.5,82,1.0,220,2.7,280,0.0,0.0,0.0,0.00,-999,-999,-999
2018-12-31-08,770.7,3206.4,7.9,4.8,81,1.5,280,3.1,300,0.0,0.0,0.0,0.00,30.0,-999,10.0
2018-12-31-09,770.9,3208.8,8.3,4.7,78,1.1,310,3.5,310,0.0,0.0,0.0,0.56,30.0,-999,10.0
2018-12-31-10,770.8,3207.6,8.1,5.2,82,0.8,330,2.7,340,0.0,0.0,0.0,0.40,-999,-999,-999
2018-12-31-11,770.2,3202.6,8.2,4.8,79,0.5,360,2.6,350,0.0,0.0,0.0,0.60,30.0,-999,10.0
2018-12-31-12,769.5,3194.3,8.0,4.8,80,0.7,330,2.3,340,0.0,0.0,0.0,0.58,-999,-999,-999
2018-12-31-13,768.8,3186.5,7.8,5.5,85,0.9,340,2.2,330,0.0,0.0,0.0,0.60,-999,-999,-999
2018-12-31-14,768.7,3186.0,7.7,5.4,85,0.7,340,1.8,350,0.0,0.0,0.0,0.57,15.0,-999,10.0
2018-12-31-15,768.9,3187.0,7.0,5.2,88,0.3,20,2.2,350,0.0,0.0,0.0,0.00,-999,-999,-999
2018-12-31-16,769.5,3192.2,6.7,4.8,88,0.9,150,1.9,160,0.0,0.0,0.0,0.00,-999,-999,-999
2018-12-31-17,770.0,3198.3,7.3,5.1,86,0.2,0,1.4,130,0.0,0.0,0.0,0.00,30.0,-999,9.0
2018-12-31-18,770.0,3197.2,6.5,4.6,88,0.3,160,1.7,160,0.0,0.0,0.0,0.00,-999,-999,-999
2018-12-31-19,770.1,3197.3,6.0,3.8,86,0.2,0,2.0,230,0.0,0.0,0.0,0.00,-999,-999,-999
2018-12-31-20,770.0,3196.5,5.7,3.5,86,0.7,180,2.2,150,0.0,0.0,-999,0.00,30.0,-999,7.0
2018-12-31-21,770.2,3198.9,5.5,3.3,86,0.9,190,2.4,210,0.0,0.0,-999,0.00,30.0,-999,6.0
2018-12-31-22,770.5,3201.3,5.1,2.9,86,0.4,340,1.9,220,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-23,770.4,3200.4,5.1,3.0,86,0.6,330,1.6,300,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-24,770.5,3200.9,4.9,2.8,86,0.7,290,1.9,290,0.0,0.0,-999,0.00,-999,-999,-999
