,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2018-12-31-01,1023.0,1024.1,21.1,12.9,59,4.3,30,9.1,30,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-02,1022.5,1023.6,20.9,13.0,61,5.2,30,11.3,40,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-03,1022.2,1023.3,21.3,12.8,58,3.6,40,9.7,30,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-04,1022.3,1023.4,21.0,13.0,60,5.2,30,10.2,40,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-05,1022.8,1023.9,21.3,13.0,59,4.1,30,10.2,30,0.0,0.0,-999,0.00,18.0,-999,9.0
2018-12-31-06,1023.0,1024.1,21.5,13.3,60,4.5,30,9.7,20,0.0,0.0,0.0,0.00,-999,-999,-999
2018-12-31-07,1023.8,1024.9,21.3,13.4,61,4.3,30,11.3,20,0.0,0.0,0.0,0.00,-999,-999,-999
2018-12-31-08,1024.2,1025.3,21.4,13.6,61,5.1,30,10.9,30,0.0,0.0,0.0,0.10,18.0,-999,10.0
2018-12-31-09,1024.6,1025.7,22.2,14.7,62,5.0,30,11.8,40,0.0,0.0,0.0,0.67,18.0,-999,9.0
2018-12-31-10,1024.2,1025.3,22.9,14.6,59,6.3,30,12.3,40,0.0,0.0,0.1,1.24,-999,-999,-999
2018-12-31-11,1023.5,1024.6,23.3,14.5,58,5.9,30,12.4,30,0.0,0.0,0.0,1.11,18.0,-999,9.0
2018-12-31-12,1022.4,1023.4,23.3,16.1,64,4.5,30,11.4,40,0.0,0.0,0.0,1.39,-999,-999,-999
2018-12-31-13,1021.5,1022.5,23.2,16.2,65,4.3,30,10.7,30,0.0,0.0,0.0,1.15,-999,-999,-999
2018-12-31-14,1021.1,1022.1,23.2,16.9,68,4.3,40,10.6,40,0.0,0.0,0.0,0.72,18.0,-999,10.0
2018-12-31-15,1021.0,1022.1,22.7,16.9,70,4.8,30,11.1,40,0.0,0.0,0.0,0.60,-999,-999,-999
2018-12-31-16,1022.0,1023.1,22.8,15.2,62,4.4,30,10.6,30,0.0,0.0,0.0,0.47,-999,-999,-999
2018-12-31-17,1022.8,1023.9,22.6,14.7,61,4.4,30,10.4,40,0.0,0.0,0.0,0.00,10.0,-999,10.0
2018-12-31-18,1023.1,1024.2,22.2,14.6,62,4.0,20,13.2,30,0.0,0.0,0.0,0.00,-999,-999,-999
2018-12-31-19,1023.4,1024.5,21.2,14.6,66,3.8,20,9.3,40,0.0,0.0,0.0,0.00,-999,-999,-999
2018-12-31-20,1023.5,1024.6,21.3,14.9,67,3.9,20,9.4,40,0.0,0.0,-999,0.00,10.0,-999,10.0
2018-12-31-21,1023.9,1025.0,20.7,14.5,68,3.7,20,10.5,10,0.0,0.0,-999,0.00,10.0,-999,10.0
2018-12-31-22,1023.7,1024.8,20.9,14.8,68,2.6,20,9.8,20,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-23,1023.6,1024.7,21.3,15.1,68,3.7,30,8.7,30,0.0,0.0,-999,0.00,-999,-999,-999
2018-12-31-24,1023.3,1024.4,21.4,14.8,66,4.0,20,9.8,60,0.0,0.0,-999,0.00,-999,-999,-999
