,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2018-12-31-01,1022.5,1026.0,15.7,12.5,81,3.4,20,9.6,80,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-02,1022.6,1026.1,15.6,12.6,82,3.5,30,10.3,10,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-03,1022.5,1026.0,15.4,12.6,83,3.1,30,12.8,10,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-04,1022.8,1026.3,15.4,12.8,84,3.6,30,11.4,40,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-05,1022.5,1026.0,15.4,12.6,83,4.2,30,10.3,20,0.0,0.0,-999,0.00,12.0,0,7.0
2018-12-31-06,1023.2,1026.7,15.7,12.7,82,2.6,30,10.9,360,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-07,1023.0,1026.5,15.8,12.7,82,3.1,50,10.4,30,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-08,1023.4,1026.9,15.9,13.0,83,3.9,20,9.4,60,0.0,0.0,0.0,0.00,12.0,0,10.0
2018-12-31-09,1023.8,1027.3,16.3,13.2,82,4.6,30,13.1,20,0.0,0.0,0.0,0.05,12.0,0,10.0
2018-12-31-10,1023.8,1027.3,16.7,13.6,82,3.5,20,12.9,40,0.0,0.0,0.0,0.60,-999,1,10.0
2018-12-31-11,1022.9,1026.4,16.9,13.5,80,4.1,30,11.8,20,0.0,0.0,0.0,0.60,16.0,2,10.0
2018-12-31-12,1021.8,1025.3,16.8,13.3,80,4.6,20,11.7,60,0.0,0.0,0.0,0.82,-999,3,10.0
2018-12-31-13,1021.0,1024.5,17.3,13.7,79,5.1,20,13.9,10,0.0,0.0,0.0,1.12,-999,4,10.0
2018-12-31-14,1020.3,1023.8,16.9,13.3,79,5.4,20,15.6,40,0.0,0.0,0.0,0.97,15.0,3,9.0
2018-12-31-15,1020.9,1024.4,16.6,13.1,80,5.3,20,14.3,30,0.0,0.0,0.0,0.79,-999,2,9.0
2018-12-31-16,1021.4,1024.9,16.1,13.2,83,4.6,20,14.8,20,0.0,0.0,0.0,0.61,-999,1,9.0
2018-12-31-17,1021.9,1025.4,15.9,12.8,82,4.9,30,14.4,20,0.0,0.0,0.2,0.25,15.0,0,6.0
2018-12-31-18,1022.3,1025.8,15.9,12.9,82,4.3,20,12.0,10,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-19,1022.0,1025.5,16.4,12.7,79,3.3,20,10.8,50,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-20,1021.9,1025.4,17.0,12.4,74,3.5,40,13.0,60,0.0,0.0,-999,0.00,20.0,0,10.0
2018-12-31-21,1021.9,1025.4,16.9,12.4,75,3.3,40,12.5,50,0.0,0.0,-999,0.00,20.0,0,7.0
2018-12-31-22,1022.0,1025.5,16.8,12.6,76,3.7,20,12.6,60,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-23,1021.7,1025.2,16.8,12.8,77,4.4,30,12.9,20,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-24,1021.8,1025.3,16.7,12.9,78,3.6,30,14.9,70,0.0,0.0,-999,0.00,-999,0,-999
