,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2018-12-31-01,1020.0,1022.9,21.2,15.3,69,6.0,30,17.1,30,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-02,1019.5,1022.3,21.4,15.5,69,6.2,30,17.2,50,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-03,1019.4,1022.2,21.3,15.6,70,3.8,20,12.1,30,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-04,1019.9,1022.8,21.3,15.1,68,3.7,10,11.7,360,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-05,1020.3,1023.2,21.3,15.2,68,3.2,10,11.6,20,0.0,0.0,-999,0.00,18.0,0,2.0
2018-12-31-06,1020.5,1023.4,21.6,16.1,71,3.8,30,11.7,20,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-07,1020.5,1023.3,21.8,16.1,70,7.7,30,16.9,30,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-08,1020.3,1023.1,22.0,16.3,70,7.9,30,20.0,30,0.0,0.0,0.0,0.00,18.0,0,9.0
2018-12-31-09,1020.8,1023.6,22.4,16.7,70,8.9,30,20.2,40,0.0,0.0,0.0,0.51,18.0,1,10.0
2018-12-31-10,1020.9,1023.7,22.5,16.3,68,7.3,30,18.8,20,0.0,0.0,0.0,0.68,-999,2,9.0
2018-12-31-11,1020.2,1023.0,22.8,15.8,65,8.1,30,19.6,20,0.0,0.0,0.0,0.65,20.0,3,9.0
2018-12-31-12,1019.7,1022.5,22.2,18.4,79,6.6,40,15.4,40,0.0,0.0,0.0,0.81,-999,4,8.0
2018-12-31-13,1018.4,1021.2,22.6,17.1,71,7.9,30,17.3,20,0.0,0.0,0.0,0.63,-999,3,9.0
2018-12-31-14,1018.0,1020.8,22.6,17.2,72,5.1,30,15.0,10,0.0,0.0,0.0,0.60,20.0,3,8.0
2018-12-31-15,1018.0,1020.8,22.8,16.6,68,5.6,30,14.8,10,0.0,0.0,0.0,0.60,-999,2,8.0
2018-12-31-16,1019.0,1021.8,22.2,17.8,76,5.2,30,12.9,10,0.0,0.0,0.0,0.26,-999,1,9.0
2018-12-31-17,1019.2,1022.0,22.1,18.3,79,5.8,40,20.3,10,0.0,0.0,0.0,0.00,12.0,0,10.0
2018-12-31-18,1019.4,1022.2,21.8,19.0,84,9.1,50,19.2,70,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-19,1019.5,1022.3,21.7,18.9,84,8.8,50,22.1,80,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-20,1019.7,1022.5,21.9,18.3,80,7.7,50,20.4,50,0.0,0.0,-999,0.00,15.0,0,9.0
2018-12-31-21,1020.1,1022.9,22.0,18.2,79,6.9,40,20.7,30,0.0,0.0,-999,0.00,15.0,0,8.0
2018-12-31-22,1020.1,1022.9,21.8,17.3,76,7.8,40,21.0,30,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-23,1020.2,1023.0,21.9,17.5,76,6.9,40,18.8,50,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-24,1019.8,1022.6,21.8,17.6,77,6.8,40,18.8,10,0.0,0.0,-999,0.00,-999,0,-999
