,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2018-12-31-01,1020.1,1024.6,19.1,12.9,67,4.1,40,11.2,30,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-02,1020.0,1024.5,19.2,13.4,69,4.3,20,10.1,40,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-03,1019.4,1023.9,19.2,13.5,70,4.8,30,8.0,30,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-04,1019.5,1023.9,19.6,13.8,69,5.0,30,9.2,50,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-05,1019.6,1024.1,19.6,12.8,65,5.8,30,11.6,40,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-06,1020.4,1024.9,19.5,13.6,69,5.9,30,9.7,30,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-07,1020.7,1025.1,20.1,13.3,65,5.0,30,9.1,30,0.0,0.0,0.0,0.01,-999,0,-999
2018-12-31-08,1021.5,1025.9,20.2,13.8,67,4.6,20,9.4,50,0.0,0.0,0.0,0.11,-999,0,-999
2018-12-31-09,1021.9,1026.3,20.9,14.5,67,5.0,20,9.8,20,0.0,0.0,0.0,0.41,-999,1,-999
2018-12-31-10,1021.5,1025.9,21.4,15.5,69,5.3,20,9.9,40,0.0,0.0,0.0,0.70,-999,2,-999
2018-12-31-11,1021.0,1025.4,21.5,16.0,71,5.8,20,13.8,20,0.0,0.0,0.0,0.98,-999,3,-999
2018-12-31-12,1019.5,1023.9,21.8,15.5,67,6.5,30,13.8,40,0.0,0.0,0.0,1.34,-999,5,-999
2018-12-31-13,1018.9,1023.3,21.7,16.5,72,7.5,30,12.9,20,0.0,0.0,0.0,1.08,-999,4,-999
2018-12-31-14,1018.5,1022.9,21.2,15.3,69,7.4,20,14.4,20,0.0,0.0,0.0,0.91,-999,3,-999
2018-12-31-15,1018.8,1023.2,21.0,15.4,70,7.2,20,14.3,20,0.0,0.0,0.0,0.58,-999,2,-999
2018-12-31-16,1019.5,1023.9,20.9,15.2,70,5.7,20,11.5,10,0.0,0.0,0.0,0.36,-999,1,-999
2018-12-31-17,1020.3,1024.7,20.6,14.7,69,5.1,20,11.6,30,0.0,0.0,0.0,0.09,-999,0,-999
2018-12-31-18,1020.5,1024.9,20.4,14.6,69,5.8,20,10.8,360,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-19,1020.9,1025.3,20.1,15.6,75,6.3,20,12.5,30,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-20,1020.9,1025.3,20.1,15.4,74,6.1,20,11.7,20,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-21,1021.4,1025.9,19.7,15.7,78,5.9,20,11.5,20,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-22,1021.0,1025.5,19.9,14.5,71,5.2,30,13.9,20,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-23,1020.8,1025.3,19.9,15.0,73,5.3,20,12.7,20,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-24,1020.5,1024.9,20.0,14.5,71,5.7,30,12.9,40,0.0,0.0,-999,0.00,-999,0,-999
