,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2018-12-31-01,910.1,1585.8,12.5,8.7,78,1.8,330,2.6,290,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-02,909.5,1579.3,12.7,8.6,76,0.5,290,2.5,30,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-03,909.7,1581.3,12.5,8.8,78,1.8,10,3.1,360,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-04,909.8,1582.2,11.8,8.9,82,1.4,80,3.5,350,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-05,909.8,1582.2,13.5,8.6,72,3.6,140,4.2,140,0.0,0.0,-999,0.00,20.0,0,9.0
2018-12-31-06,910.4,1587.4,13.1,8.8,75,2.4,170,3.6,130,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-07,910.6,1590.8,14.6,8.3,66,1.0,140,3.4,180,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-08,910.8,1593.0,15.1,8.1,63,0.2,0,2.3,180,0.0,0.0,0.0,0.00,25.0,0,9.0
2018-12-31-09,911.3,1598.0,15.9,9.3,65,1.9,310,2.9,300,0.0,0.0,0.0,0.42,30.0,1,9.0
2018-12-31-10,911.0,1595.9,16.6,8.7,60,0.5,220,2.6,190,0.0,0.0,0.0,0.65,-999,2,-999
2018-12-31-11,910.4,1591.6,17.3,10.8,66,0.2,0,2.0,180,0.0,0.0,0.0,0.95,30.0,3,9.0
2018-12-31-12,909.1,1579.4,17.3,9.4,60,0.6,90,2.0,120,0.0,0.0,0.0,1.07,-999,4,-999
2018-12-31-13,908.6,1575.1,17.7,10.8,64,1.4,340,2.0,170,0.0,0.0,0.0,1.03,-999,3,-999
2018-12-31-14,908.2,1571.0,17.1,9.5,61,0.1,0,1.9,340,0.0,0.0,0.0,0.60,30.0,2,10.0
2018-12-31-15,908.4,1572.7,17.2,11.5,69,0.5,250,1.8,180,0.0,0.0,0.0,0.60,-999,1,-999
2018-12-31-16,909.0,1577.1,16.7,12.2,75,0.1,0,1.9,170,0.0,0.0,0.0,0.52,-999,1,-999
2018-12-31-17,909.5,1582.1,15.3,11.7,79,0.4,140,2.4,180,0.0,0.0,0.0,0.00,25.0,0,9.0
2018-12-31-18,909.6,1582.2,14.9,11.4,80,1.5,20,2.1,40,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-19,910.0,1586.7,14.2,11.2,82,1.5,90,2.5,110,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-20,909.8,1584.9,13.8,11.1,84,2.3,70,3.0,40,0.0,0.0,-999,0.00,15.0,0,3.0
2018-12-31-21,910.1,1589.2,14.5,10.2,75,1.5,100,2.7,70,0.0,0.0,-999,0.00,15.0,0,3.0
2018-12-31-22,910.4,1593.9,15.7,8.7,63,1.2,130,2.2,120,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-23,910.3,1593.1,15.1,9.1,67,1.1,190,2.0,130,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-24,910.2,1592.1,15.1,9.2,68,2.7,200,4.0,210,0.0,0.0,-999,0.00,-999,0,-999
