,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2018-12-31-01,1023.9,1025.1,18.8,13.7,72,0.8,340,5.5,10,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-02,1023.3,1024.5,18.8,13.6,72,1.2,340,5.2,10,0.0,0.0,-999,0.00,25.0,0,10.0
2018-12-31-03,1023.0,1024.2,18.6,13.8,74,1.6,330,6.0,360,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-04,1023.0,1024.2,18.6,14.0,75,1.1,320,6.5,360,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-05,1023.5,1024.7,18.8,13.7,72,1.5,330,6.8,310,0.0,0.0,-999,0.00,35.0,0,10.0
2018-12-31-06,1023.9,1025.1,18.8,13.8,73,1.4,340,5.7,330,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-07,1024.6,1025.8,19.1,13.9,72,1.6,340,6.3,340,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-08,1025.1,1026.3,19.3,14.2,72,1.0,360,4.1,10,0.0,0.0,0.0,0.00,40.0,0,10.0
2018-12-31-09,1025.8,1027.0,20.1,14.5,70,1.8,350,6.6,340,0.0,0.0,0.0,0.47,40.0,1,10.0
2018-12-31-10,1025.1,1026.3,21.2,14.8,67,1.3,340,5.9,340,0.0,0.0,0.0,0.83,-999,3,10.0
2018-12-31-11,1024.2,1025.3,23.2,16.6,66,3.2,30,8.9,40,0.0,0.0,0.1,1.42,35.0,5,10.0
2018-12-31-12,1022.9,1024.0,23.0,16.9,69,3.7,40,9.4,40,0.0,0.0,0.0,1.27,-999,5,10.0
2018-12-31-13,1022.2,1023.3,23.1,17.2,69,2.9,50,10.0,10,0.0,0.0,0.1,1.24,-999,5,10.0
2018-12-31-14,1021.9,1023.0,22.6,17.3,72,3.5,40,9.3,40,0.0,0.0,0.0,0.90,25.0,3,10.0
2018-12-31-15,1022.1,1023.2,22.4,16.7,70,3.2,30,10.1,10,0.0,0.0,0.0,0.60,-999,2,10.0
2018-12-31-16,1022.9,1024.0,22.4,16.4,69,2.5,30,8.0,20,0.0,0.0,0.0,0.60,-999,1,10.0
2018-12-31-17,1023.6,1024.8,22.0,16.3,70,2.9,30,7.4,10,0.0,0.0,0.0,0.02,25.0,0,10.0
2018-12-31-18,1023.9,1025.1,21.2,15.0,68,1.3,350,5.2,50,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-19,1024.2,1025.4,20.9,15.1,69,0.9,340,3.5,360,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-20,1024.4,1025.6,20.4,15.8,75,1.1,360,6.2,320,T,0.8,-999,0.00,10.0,0,10.0
2018-12-31-21,1024.6,1025.8,20.4,15.5,73,0.7,340,4.1,10,T,0.4,-999,0.00,10.0,0,10.0
2018-12-31-22,1024.5,1025.7,19.8,15.8,78,0.9,330,4.0,350,T,1.0,-999,0.00,-999,0,-999
2018-12-31-23,1024.3,1025.5,19.6,15.8,79,1.1,340,4.8,360,0.1,1.0,-999,0.00,10.0,0,10.0
2018-12-31-24,1024.1,1025.3,19.6,15.8,79,1.2,320,5.2,340,0.1,0.7,-999,0.00,-999,0,-999
