,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2018-12-31-01,1021.0,1032.5,8.7,4.8,76,5.0,20,14.0,20,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-02,1020.7,1032.2,8.3,4.9,79,5.2,10,13.4,350,T,0.5,-999,0.00,-999,0,-999
2018-12-31-03,1020.4,1031.9,8.0,5.0,81,4.8,10,11.8,10,T,0.8,-999,0.00,-999,0,-999
2018-12-31-04,1020.3,1031.8,7.3,5.6,89,4.6,40,11.8,10,0.5,1.0,-999,0.00,-999,0,-999
2018-12-31-05,1020.6,1032.2,7.3,5.8,90,4.9,20,11.6,20,0.5,1.0,-999,0.00,7.0,0,10.0
2018-12-31-06,1021.2,1032.8,7.3,5.8,90,5.7,20,13.7,10,0.5,0.8,0.0,0.00,-999,0,-999
2018-12-31-07,1021.5,1033.1,7.5,5.7,88,5.1,20,13.2,10,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-08,1022.3,1033.9,7.6,5.1,84,5.2,20,15.2,360,0.0,0.0,0.0,0.00,14.0,0,10.0
2018-12-31-09,1022.4,1033.9,8.1,5.4,83,5.7,20,13.4,360,0.0,0.0,0.0,0.00,15.0,0,10.0
2018-12-31-10,1023.0,1034.5,8.0,5.6,85,5.3,20,14.4,360,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-11,1022.0,1033.5,8.0,5.7,85,5.3,20,14.3,10,0.0,0.0,0.0,0.00,15.0,0,10.0
2018-12-31-12,1020.7,1032.2,8.0,5.8,86,4.8,20,13.3,10,0.0,0.0,0.0,0.00,-999,1,-999
2018-12-31-13,1020.0,1031.5,8.1,5.7,85,5.5,20,15.2,340,0.0,0.0,0.0,0.00,-999,1,-999
2018-12-31-14,1019.5,1031.0,8.3,5.9,85,4.9,10,12.9,350,0.0,0.0,0.0,0.00,18.0,1,10.0
2018-12-31-15,1019.9,1031.4,8.6,6.2,85,5.2,20,14.2,360,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-16,1020.4,1031.9,8.7,6.0,83,4.8,30,12.9,30,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-17,1021.0,1032.5,8.9,6.1,83,4.8,20,14.7,360,0.0,0.0,0.0,0.00,12.0,0,10.0
2018-12-31-18,1020.9,1032.4,9.1,6.0,81,5.4,20,11.9,360,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-19,1021.1,1032.6,9.1,5.9,80,5.6,30,14.8,360,0.0,0.0,0.0,0.00,-999,0,-999
2018-12-31-20,1021.1,1032.6,9.2,6.1,81,5.4,30,14.7,30,0.0,0.0,-999,0.00,15.0,0,10.0
2018-12-31-21,1021.2,1032.7,9.3,6.1,80,5.8,30,13.4,360,0.0,0.0,-999,0.00,10.0,0,10.0
2018-12-31-22,1021.6,1033.1,9.4,6.2,80,5.2,20,14.7,30,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-23,1021.3,1032.8,9.5,6.1,79,5.0,20,12.8,10,0.0,0.0,-999,0.00,-999,0,-999
2018-12-31-24,1021.2,1032.7,9.4,6.1,80,5.7,10,13.8,20,0.0,0.0,-999,0.00,-999,0,-999
