,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2019-01-01-01,1002.4,-999,14.2,-999,99,0.3,230,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-01-02,1002.1,-999,14.2,-999,99,0.2,0,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-01-03,1001.6,-999,14.3,-999,99,0.0,0,-999,-999,1.0,-999,-999,-999,-999,-999,-999
2019-01-01-04,1001.3,-999,14.2,-999,99,0.5,111,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-01-05,1001.4,-999,14.1,-999,99,0.2,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-01-06,1002.0,-999,14.2,-999,99,0.4,179,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-01-07,1002.7,-999,14.3,-999,99,0.6,227,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-01-08,1003.4,-999,14.4,-999,98,0.5,93,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-01-09,1003.8,-999,14.8,-999,98,0.4,108,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-01-10,1003.6,-999,14.8,-999,98,1.0,84,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-01-11,1003.2,-999,14.6,-999,97,1.0,130,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-01-12,1001.8,-999,14.6,-999,96,1.2,90,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-01-13,1001.1,-999,14.8,-999,97,0.6,135,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-01-14,1000.5,-999,14.8,-999,96,0.3,261,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-01-15,1000.7,-999,14.5,-999,97,0.3,111,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-01-16,1001.3,-999,14.5,-999,97,0.5,132,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-01-17,1002.0,-999,14.2,-999,98,0.6,219,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-01-18,1002.2,-999,14.0,-999,98,0.3,144,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-01-19,1002.0,-999,14.0,-999,98,0.0,0,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-01-20,1002.0,-999,14.2,-999,98,0.2,0,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-01-21,1002.2,-999,14.1,-999,98,0.5,78,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-01-22,1002.2,-999,14.1,-999,98,0.1,0,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-01-23,1002.1,-999,14.2,-999,98,0.6,279,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-01-24,1002.2,-999,14.0,-999,99,0.6,307,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-02-01,1002.0,-999,14.2,-999,98,1.0,31,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-02-02,1001.8,-999,14.1,-999,98,0.5,129,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-02-03,1001.4,-999,14.0,-999,98,1.3,107,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-02-04,1001.0,-999,14.0,-999,98,0.1,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-02-05,1001.3,-999,14.1,-999,99,0.0,0,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-02-06,1001.3,-999,14.0,-999,99,0.0,0,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-02-07,1002.6,-999,14.2,-999,99,0.0,0,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-02-08,1002.9,-999,14.6,-999,99,0.2,0,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-02-09,1003.1,-999,14.9,-999,99,0.1,0,-999,-999,1.0,-999,-999,-999,-999,-999,-999
2019-01-02-10,1003.1,-999,15.0,-999,98,0.1,0,-999,-999,1.0,-999,-999,-999,-999,-999,-999
2019-01-02-11,1001.8,-999,15.1,-999,97,0.4,237,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-02-12,1000.4,-999,15.5,-999,97,0.7,126,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-02-13,999.7,-999,15.5,-999,97,0.3,197,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-02-14,998.8,-999,15.6,-999,95,0.5,59,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-02-15,999.0,-999,15.6,-999,97,0.1,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-02-16,999.2,-999,15.6,-999,96,0.2,0,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-02-17,999.8,-999,15.5,-999,98,0.1,0,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-02-18,1000.0,-999,15.5,-999,98,0.2,0,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-02-19,1000.3,-999,15.6,-999,98,0.5,239,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-02-20,1000.6,-999,15.8,-999,98,0.0,0,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-02-21,1000.5,-999,16.0,-999,98,0.0,0,-999,-999,1.0,-999,-999,-999,-999,-999,-999
2019-01-02-22,1000.4,-999,16.0,-999,99,0.1,0,-999,-999,1.0,-999,-999,-999,-999,-999,-999
2019-01-02-23,1000.2,-999,15.9,-999,99,0.3,107,-999,-999,1.0,-999,-999,-999,-999,-999,-999
2019-01-02-24,1000.3,-999,16.0,-999,99,0.0,0,-999,-999,1.0,-999,-999,-999,-999,-999,-999
2019-01-03-01,1000.2,-999,16.0,-999,99,0.5,168,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-03-02,1000.0,-999,16.0,-999,99,0.0,0,-999,-999,1.5,-999,-999,-999,-999,-999,-999
2019-01-03-03,999.8,-999,15.9,-999,99,0.0,0,-999,-999,1.0,-999,-999,-999,-999,-999,-999
2019-01-03-04,999.8,-999,15.8,-999,99,0.2,0,-999,-999,1.0,-999,-999,-999,-999,-999,-999
2019-01-03-05,1000.3,-999,15.8,-999,99,0.3,307,-999,-999,2.0,-999,-999,-999,-999,-999,-999
2019-01-03-06,1000.5,-999,15.7,-999,100,0.0,0,-999,-999,1.0,-999,-999,-999,-999,-999,-999
2019-01-03-07,1001.0,-999,15.8,-999,100,0.2,0,-999,-999,1.0,-999,-999,-999,-999,-999,-999
2019-01-03-08,1002.0,-999,15.9,-999,100,0.1,0,-999,-999,1.0,-999,-999,-999,-999,-999,-999
2019-01-03-09,1002.5,-999,16.2,-999,99,0.3,239,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-03-10,1002.4,-999,16.4,-999,99,0.2,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2019-01-03-11,1001.7,-999,17.3,-999,98,0.3,275,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2019-01-03-12,1001.2,-999,17.2,-999,98,0.2,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
