,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2020-01-01-01,986.7,1025.1,18.0,16.8,93,7.8,20,20.4,30,0.0,0.0,-999,0.00,-999,0,-999
2020-01-01-02,986.4,1024.8,17.7,16.9,95,7.0,20,18.8,30,0.0,0.0,-999,0.00,-999,0,-999
2020-01-01-03,986.2,1024.7,17.1,16.7,97,6.2,10,18.6,30,0.5,0.2,-999,0.00,-999,0,-999
2020-01-01-04,986.4,1024.8,17.6,17.4,99,7.0,20,18.7,20,0.1,0.2,-999,0.00,-999,0,-999
2020-01-01-05,986.7,1025.2,16.8,16.8,100,4.7,10,21.9,10,0.3,0.4,-999,0.00,10.0,0,10.0
2020-01-01-06,987.3,1025.8,17.6,17.3,98,6.5,20,16.2,40,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-01-07,987.8,1026.3,17.2,17.2,100,4.6,360,14.4,10,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-01-08,988.5,1026.9,18.3,16.8,91,6.7,20,17.4,30,0.0,0.0,0.0,0.05,15.0,0,9.0
2020-01-01-09,989.1,1027.5,18.7,16.3,86,4.7,10,17.0,40,0.0,0.0,0.0,0.38,15.0,1,9.0
2020-01-01-10,989.5,1027.9,18.9,16.1,84,6.0,10,19.5,30,0.0,0.0,0.0,0.63,-999,2,-999
2020-01-01-11,988.9,1026.9,21.4,14.5,65,4.5,10,13.9,20,0.0,0.0,0.2,1.45,20.0,4,8.0
2020-01-01-12,987.8,1025.9,20.2,15.5,74,4.3,10,13.7,30,0.0,0.0,0.3,1.35,-999,4,-999
2020-01-01-13,986.9,1024.9,21.2,15.3,69,4.1,360,18.6,10,0.0,0.0,0.7,2.46,-999,6,-999
2020-01-01-14,986.4,1024.3,21.7,14.6,64,3.6,360,13.7,40,0.0,0.0,0.8,2.58,20.0,5,5.0
2020-01-01-15,986.2,1024.2,21.0,14.8,68,3.9,10,13.2,40,0.0,0.0,0.6,1.72,-999,3,-999
2020-01-01-16,986.4,1024.7,18.6,18.1,97,3.9,350,15.4,30,0.5,0.4,0.3,0.77,-999,1,-999
2020-01-01-17,986.7,1025.0,18.6,17.7,95,4.2,360,13.9,30,0.1,0.2,0.1,0.23,20.0,0,9.0
2020-01-01-18,987.1,1025.4,19.0,16.8,87,5.8,30,13.6,30,0.0,0.0,0.0,0.00,-999,0,-999
2020-01-01-19,987.8,1026.2,18.3,17.7,96,4.1,360,15.4,20,0.1,0.1,0.0,0.00,-999,0,-999
2020-01-01-20,988.0,1026.3,18.7,16.7,88,3.5,360,14.6,30,0.0,0.0,-999,0.00,20.0,0,7.0
2020-01-01-21,988.1,1026.4,18.9,16.3,85,6.3,20,14.1,30,0.0,0.0,-999,0.00,20.0,0,7.0
2020-01-01-22,988.0,1026.3,18.9,16.3,85,6.5,20,14.7,40,0.0,0.0,-999,0.00,-999,0,-999
