,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2022-01-01-01,1003.1,-999,12.6,-999,99,2.9,96,-999,-999,1.0,-999,-999,-999,-999,-999,-999
2022-01-01-02,1002.6,-999,12.7,-999,100,1.6,99,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2022-01-01-03,1002.3,-999,12.8,-999,99,1.7,104,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2022-01-01-04,1001.9,-999,12.9,-999,100,1.4,110,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-05,1001.8,-999,13.1,-999,100,1.7,119,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-06,1002.4,-999,13.3,-999,99,0.9,119,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-07,1002.9,-999,13.7,-999,100,1.0,92,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-08,1003.3,-999,13.8,-999,100,0.2,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-09,1003.7,-999,14.2,-999,99,0.4,115,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-10,1003.9,-999,14.4,-999,99,0.3,105,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2022-01-01-11,1003.3,-999,14.6,-999,100,0.1,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-12,1002.5,-999,14.7,-999,99,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-13,1001.4,-999,14.8,-999,100,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-14,1000.8,-999,15.5,-999,100,0.3,108,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2022-01-01-15,1000.6,-999,15.1,-999,100,0.3,4,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-16,1000.7,-999,14.6,-999,100,1.2,83,-999,-999,1.0,-999,-999,-999,-999,-999,-999
2022-01-01-17,1001.2,-999,14.5,-999,100,1.2,64,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-18,1001.6,-999,14.5,-999,99,1.2,44,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-19,1001.8,-999,14.5,-999,100,0.9,85,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-20,1001.8,-999,14.6,-999,100,0.1,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-21,1001.6,-999,14.4,-999,99,0.7,75,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-22,1001.6,-999,14.5,-999,99,0.8,67,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-23,1001.4,-999,14.6,-999,100,0.2,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-24,1000.9,-999,14.0,-999,99,0.3,120,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-01,1000.6,-999,13.6,-999,99,0.1,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-02,1000.3,-999,14.2,-999,100,0.2,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-03,1000.1,-999,14.3,-999,100,0.3,111,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-04,1000.2,-999,14.6,-999,100,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-05,1000.6,-999,14.8,-999,100,0.7,57,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-06,1001.0,-999,14.6,-999,100,0.9,59,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-07,1001.6,-999,14.8,-999,99,1.1,58,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-08,1002.2,-999,15.0,-999,100,1.0,57,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-09,1002.9,-999,15.1,-999,100,1.6,52,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-10,1002.9,-999,15.3,-999,99,1.7,45,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-11,1002.3,-999,15.6,-999,99,1.4,56,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-12,1001.4,-999,15.0,-999,99,2.3,47,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-13,1000.7,-999,14.9,-999,100,2.1,43,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-14,1000.2,-999,14.9,-999,99,1.4,50,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-15,1000.0,-999,14.8,-999,99,1.3,71,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-16,1000.1,-999,14.8,-999,98,2.2,71,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-17,1000.4,-999,14.9,-999,98,2.2,72,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-18,1000.9,-999,14.9,-999,98,1.7,73,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-19,1001.3,-999,15.1,-999,99,2.0,74,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-20,1001.4,-999,14.5,-999,100,1.2,61,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2022-01-02-21,1001.2,-999,14.5,-999,99,1.6,70,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-22,1001.2,-999,14.5,-999,100,1.5,76,-999,-999,0.0,-999,-999,-999,-999,-999,-999
