,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2022-01-01-01,1022.0,-999,13.9,-999,98,1.0,63,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2022-01-01-02,1021.3,-999,14.1,-999,97,0.5,65,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-03,1021.0,-999,14.2,-999,96,0.3,51,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-04,1020.5,-999,14.5,-999,95,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-05,1020.4,-999,14.2,-999,96,0.4,238,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-06,1021.0,-999,14.4,-999,96,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-07,1021.5,-999,14.3,-999,97,0.3,291,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-08,1021.9,-999,14.4,-999,98,0.4,302,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-09,1022.1,-999,14.8,-999,98,0.2,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-10,1022.4,-999,15.3,-999,97,0.0,0,-999,-999,1.0,-999,-999,-999,-999,-999,-999
2022-01-01-11,1021.8,-999,15.8,-999,97,0.2,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-12,1020.9,-999,15.9,-999,96,0.1,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-13,1019.9,-999,16.2,-999,95,0.2,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-14,1019.2,-999,16.3,-999,95,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-15,1018.9,-999,16.9,-999,93,0.1,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-16,1019.1,-999,15.9,-999,96,0.0,0,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2022-01-01-17,1019.6,-999,15.8,-999,97,0.2,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-18,1019.9,-999,15.7,-999,98,0.5,51,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-19,1020.1,-999,15.8,-999,97,1.1,62,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-20,1020.1,-999,16.0,-999,96,0.5,56,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-21,1019.9,-999,15.8,-999,95,0.8,55,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-22,/,-999,/,-999,/,/,/,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-23,1019.8,-999,16.5,-999,92,0.1,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-01-24,1019.5,-999,16.3,-999,92,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-01,1019.0,-999,15.3,-999,94,0.1,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-02,1018.7,-999,14.6,-999,95,0.6,306,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-03,1018.4,-999,15.3,-999,94,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-04,1018.6,-999,15.6,-999,94,0.1,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-05,1018.9,-999,16.0,-999,93,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-06,1019.2,-999,16.1,-999,94,0.7,51,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-07,1019.9,-999,16.6,-999,89,0.6,49,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-08,1020.5,-999,16.9,-999,85,0.5,56,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-09,1021.1,-999,16.9,-999,83,1.8,56,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-10,1021.2,-999,17.1,-999,83,0.8,56,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-11,1020.7,-999,17.0,-999,82,1.0,58,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-12,1019.8,-999,16.7,-999,84,1.7,49,-999,-999,&,-999,-999,-999,-999,-999,-999
2022-01-02-13,1019.0,-999,16.7,-999,83,1.1,42,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-14,1018.6,-999,16.5,-999,82,0.6,63,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-15,1018.3,-999,16.5,-999,82,0.6,60,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-16,1018.5,-999,16.6,-999,81,1.4,50,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-17,1018.8,-999,16.6,-999,82,0.9,55,-999,-999,&,-999,-999,-999,-999,-999,-999
2022-01-02-18,1019.2,-999,16.8,-999,82,1.1,58,-999,-999,&,-999,-999,-999,-999,-999,-999
2022-01-02-19,1019.5,-999,16.8,-999,83,1.5,51,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-20,1019.8,-999,16.4,-999,86,1.1,55,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-21,/,-999,/,-999,/,/,/,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-22,1019.7,-999,16.7,-999,85,1.0,68,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-02-23,1019.3,-999,15.9,-999,91,1.0,64,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2022-01-02-24,/,-999,/,-999,/,/,/,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-03-01,1018.8,-999,16.1,-999,89,0.4,75,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-03-02,1018.4,-999,16.3,-999,87,0.7,49,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-03-03,1018.3,-999,16.0,-999,88,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-03-04,1018.0,-999,14.9,-999,95,0.3,293,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-03-05,1018.2,-999,15.0,-999,95,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-03-06,1018.6,-999,15.1,-999,94,0.2,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-03-07,1019.1,-999,15.5,-999,92,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-03-08,1019.7,-999,15.6,-999,91,0.1,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-03-09,1019.9,-999,16.0,-999,91,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-03-10,1019.8,-999,16.7,-999,91,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-03-11,1019.4,-999,17.9,-999,83,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-03-12,1018.5,-999,18.4,-999,80,0.3,11,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-03-13,1017.6,-999,18.8,-999,76,0.1,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-03-14,1016.9,-999,18.8,-999,78,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-03-15,1016.6,-999,18.4,-999,80,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-03-16,1016.6,-999,18.2,-999,83,0.1,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-03-17,1016.8,-999,17.8,-999,86,0.6,62,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-03-18,1017.0,-999,17.6,-999,88,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-03-19,1017.4,-999,16.9,-999,91,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-03-20,1017.5,-999,16.8,-999,92,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-03-21,/,-999,/,-999,/,/,/,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-03-22,1017.7,-999,16.9,-999,93,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-03-23,1017.7,-999,17.7,-999,89,0.1,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-03-24,1017.7,-999,18.4,-999,84,0.2,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-04-01,1017.6,-999,18.3,-999,82,0.4,63,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-04-02,1017.6,-999,17.8,-999,86,0.3,53,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-04-03,1017.4,-999,16.9,-999,93,0.2,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-04-04,/,-999,/,-999,/,/,/,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-04-05,1017.5,-999,16.3,-999,96,0.2,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-04-06,1018.0,-999,16.2,-999,96,0.7,77,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-04-07,1018.4,-999,16.4,-999,96,0.2,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-04-08,1018.8,-999,16.5,-999,96,0.8,62,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-04-09,1019.0,-999,16.7,-999,95,0.8,70,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2022-01-04-10,1019.0,-999,17.0,-999,94,0.6,78,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-04-11,1018.2,-999,17.3,-999,92,0.6,77,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-04-12,1017.5,-999,17.2,-999,93,0.6,67,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-04-13,1016.5,-999,17.5,-999,91,0.7,73,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-04-14,1015.8,-999,17.7,-999,90,0.5,56,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-04-15,1015.5,-999,17.8,-999,89,0.6,77,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-04-16,1015.5,-999,17.8,-999,88,0.6,75,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-04-17,1015.8,-999,17.6,-999,89,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-04-18,1015.9,-999,17.7,-999,89,0.2,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-04-19,1016.7,-999,17.6,-999,92,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-04-20,1016.7,-999,17.2,-999,95,0.1,0,-999,-999,1.0,-999,-999,-999,-999,-999,-999
2022-01-04-21,/,-999,/,-999,/,/,/,-999,-999,2.0,-999,-999,-999,-999,-999,-999
2022-01-04-22,1016.3,-999,17.5,-999,97,0.0,0,-999,-999,2.0,-999,-999,-999,-999,-999,-999
2022-01-04-23,1015.6,-999,17.5,-999,98,0.5,307,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-04-24,1015.0,-999,17.5,-999,98,0.4,232,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-05-01,1014.3,-999,17.7,-999,98,0.0,0,-999,-999,1.5,-999,-999,-999,-999,-999,-999
2022-01-05-02,1013.5,-999,17.7,-999,99,0.2,0,-999,-999,1.0,-999,-999,-999,-999,-999,-999
2022-01-05-03,1012.6,-999,17.7,-999,99,0.4,306,-999,-999,0.5,-999,-999,-999,-999,-999,-999
2022-01-05-04,/,-999,/,-999,/,/,/,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-05-05,1012.0,-999,18.1,-999,98,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-05-06,1012.5,-999,17.9,-999,99,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-05-07,1012.6,-999,17.3,-999,99,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-05-08,1013.0,-999,17.8,-999,99,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-05-09,1013.4,-999,19.2,-999,99,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-05-10,1013.6,-999,19.5,-999,98,0.2,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-05-11,1013.5,-999,19.3,-999,96,1.9,310,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-05-12,1013.1,-999,18.4,-999,97,0.9,333,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-05-13,1012.4,-999,19.0,-999,95,1.1,342,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-05-14,1011.9,-999,19.3,-999,92,0.6,20,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-05-15,1011.8,-999,19.7,-999,89,0.6,21,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-05-16,1012.3,-999,19.3,-999,89,0.6,1,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-05-17,1013.0,-999,18.5,-999,93,0.4,28,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-05-18,1013.2,-999,17.9,-999,95,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-05-19,1013.3,-999,17.8,-999,96,0.1,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-05-20,/,-999,/,-999,/,/,/,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-05-21,1014.1,-999,17.4,-999,97,0.0,0,-999,-999,&,-999,-999,-999,-999,-999,-999
2022-01-05-22,1015.0,-999,17.5,-999,97,0.0,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-05-23,1015.2,-999,17.7,-999,97,0.4,26,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-05-24,1015.1,-999,17.6,-999,97,0.1,0,-999,-999,1.0,-999,-999,-999,-999,-999,-999
2022-01-06-01,1015.2,-999,17.3,-999,98,0.2,0,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-06-02,/,-999,/,-999,/,/,/,-999,-999,0.0,-999,-999,-999,-999,-999,-999
2022-01-06-03,1015.8,-999,16.7,-999,98,0.8,53,-999,-999,0.5,-999,-999,-999,-999,-999,-999
